교차로명,시간,차종,1,2,3,4,5,6,7,8,9,10,11,12,위도,경도
상당4,8:00,대형,63,12,92,2,18,32,12,9,23,63,10,8,36.637231,127.49029
상당4,8:00,소형,578,85,1182,161,299,414,322,384,163,783,205,64,36.637231,127.49029
상당4,8:00,PCU,704,109,1366,165,335,478,346,402,209,909,225,80,36.637231,127.49029
상당4,13:00,대형,65,8,51,1,18,42,3,13,5,38,6,1,36.637231,127.49029
상당4,13:00,소형,796,123,758,108,135,258,151,117,115,333,86,67,36.637231,127.49029
상당4,13:00,PCU,926,139,860,110,171,342,157,143,125,409,98,69,36.637231,127.49029
상당4,18:00,대형,39,1,40,4,1,12,3,2,8,26,2,0,36.637231,127.49029
상당4,18:00,소형,1233,208,643,53,408,740,267,148,333,607,100,163,36.637231,127.49029
상당4,18:00,PCU,1311,210,723,61,410,764,273,152,349,659,104,163,36.637231,127.49029
내덕4,8:00,대형,67,9,76,0,2,3,1,42,31,2,16,0,36.657255,127.48829
내덕4,8:00,소형,557,45,698,0,104,53,105,831,631,65,78,11,36.657255,127.48829
내덕4,8:00,PCU,691,63,850,0,108,59,107,915,693,69,110,11,36.657255,127.48829
내덕4,13:00,대형,36,8,29,0,0,3,3,16,14,2,13,0,36.657255,127.48829
내덕4,13:00,소형,468,43,473,0,75,35,66,468,488,35,51,3,36.657255,127.48829
내덕4,13:00,PCU,540,59,531,0,75,41,72,500,516,39,77,3,36.657255,127.48829
내덕4,18:00,대형,59,8,75,0,7,3,0,53,29,3,17,0,36.657255,127.48829
내덕4,18:00,소형,697,35,660,0,115,41,126,792,657,60,81,13,36.657255,127.48829
내덕4,18:00,PCU,815,51,810,0,129,47,126,898,715,66,115,13,36.657255,127.48829
율량교4,8:00,대형,38,6,48,7,14,12,18,14,6,29,1,5,36.664676,127.493244
율량교4,8:00,소형,513,48,683,76,530,243,594,324,210,260,27,136,36.664676,127.493244
율량교4,8:00,PCU,589,60,779,90,558,267,630,352,222,318,29,146,36.664676,127.493244
율량교4,13:00,대형,21,0,28,3,10,1,26,14,4,4,0,0,36.664676,127.493244
율량교4,13:00,소형,326,25,326,51,326,173,429,221,204,212,14,118,36.664676,127.493244
율량교4,13:00,PCU,368,25,382,57,346,175,481,249,212,220,14,118,36.664676,127.493244
율량교4,18:00,대형,36,1,46,2,8,10,20,8,6,20,5,1,36.664676,127.493244
율량교4,18:00,소형,470,20,648,128,565,290,597,387,196,262,47,160,36.664676,127.493244
율량교4,18:00,PCU,542,22,740,132,581,310,637,403,208,302,57,162,36.664676,127.493244
사천교4,8:00,대형,90,0,87,2,4,2,2,4,4,6,0,5,36.665255,127.486677
사천교4,8:00,소형,1130,21,1046,65,65,61,105,205,195,100,4,105,36.665255,127.486677
사천교4,8:00,PCU,1310,21,1220,69,73,65,109,213,203,112,4,115,36.665255,127.486677
사천교4,13:00,대형,45,0,50,0,0,4,0,2,0,0,0,2,36.665255,127.486677
사천교4,13:00,소형,767,18,824,47,38,44,43,130,162,47,4,75,36.665255,127.486677
사천교4,13:00,PCU,857,18,924,47,38,52,43,134,162,47,4,79,36.665255,127.486677
사천교4,18:00,대형,94,0,119,4,4,6,2,3,4,1,0,4,36.665255,127.486677
사천교4,18:00,소형,1008,23,1186,89,89,54,77,177,218,79,5,99,36.665255,127.486677
사천교4,18:00,PCU,1196,23,1424,97,97,66,81,183,226,81,5,107,36.665255,127.486677
성모병원4,8:00,대형,83,0,102,7,8,5,2,8,8,9,0,18,36.671522,127.483253
성모병원4,8:00,소형,1092,38,1036,223,216,252,194,177,176,199,19,530,36.671522,127.483253
성모병원4,8:00,PCU,1258,38,1240,237,232,262,198,193,192,217,19,566,36.671522,127.483253
성모병원4,13:00,대형,41,0,50,0,0,0,0,8,8,14,2,6,36.671522,127.483253
성모병원4,13:00,소형,692,42,814,210,141,110,166,166,184,111,28,265,36.671522,127.483253
성모병원4,13:00,PCU,774,42,914,210,141,110,166,182,200,139,32,277,36.671522,127.483253
성모병원4,18:00,대형,97,0,114,7,7,3,0,3,7,9,0,1,36.671522,127.483253
성모병원4,18:00,소형,739,53,1376,407,288,131,284,188,258,514,53,240,36.671522,127.483253
