교차로명,통행량8,통행량13,통행량18,좌회전 비율8,좌회전 비율13,좌회전 비율18,위도,경도,사고건수,사망 건수,중상 건 수,경상 건 수,부상 건 수,사망자 수,중상자 수,경상자 수,부상자 수,교차로 반경 50m 내 무인교통단속카메라 수,교차로 반경 50m 내 신호등 수,교차로 반경 50m 내 신호등 유무,LCLAS_경상사고,LCLAS_중상사고,LCLAS_사망사고,LCLAS_부상신고사고,SCLAS_차대차,SCLAS_차량단독,SCLAS_차대사람,DRNKG,KID,ODSN,WLKG,VIOLT_CN_안전거리미확보,VIOLT_CN_안전운전의무불이행,VIOLT_CN_기타,VIOLT_CN_신호위반,VIOLT_CN_보행자보호의무위반,VIOLT_CN_교차로통행방법위반,VIOLT_CN_중앙선침범,VIOLT_CN_과속
흥덕4,4401,3121,4571,17.66,18.26,20.06,36.645295,127.478596,8,0,2,6,0,0,3,9,0,0,0,0,10,2,0,0,11,0,1,0,0,2,1,3,6,0,3,0,0,0,0
현도면사무소3,2427,1589,2269,18.29419036,13.34172435,7.051564566,36.486378,127.423642,3,0,2,1,0,0,2,1,0,2,0,0,2,2,0,0,3,0,1,0,0,2,1,1,2,1,0,0,0,0,0
효촌분기점3,3331,2314,3107,32.33263284,25.97234226,34.01995494,36.585801,127.508794,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
터미널4,6965,5178,7569,7.365398421,6.701429123,6.856916369,36.628709,127.428424,10,0,2,10,2,0,2,16,2,0,2,1,9,2,0,0,11,0,0,1,1,1,0,0,2,1,8,0,0,0,0
하이닉스반도체4,4821,3490,4967,18.63,19.71,18.36,36.653656,127.435323,6,0,0,6,0,0,0,10,0,0,2,1,10,0,0,0,10,0,0,1,1,1,1,0,5,1,3,0,0,1,0
충북학생교육문화원4,5539,3677,5472,4.04,7.51,7.58,36.682957,127.482354,5,0,3,5,0,0,3,14,0,0,4,1,5,4,0,0,9,0,0,2,0,1,0,0,5,0,4,0,0,0,0
태산그린아파트4,4838,2618,4810,11.93,14.82,14.47,36.6132,127.510297,9,0,2,8,0,0,3,22,0,0,0,0,8,2,0,0,9,0,1,2,3,1,1,0,5,1,4,0,0,0,0
오창4,4836,3498,4170,12.9,13.35,11.58,36.740656,127.452498,11,0,4,7,0,0,4,11,0,0,0,0,7,4,0,0,9,0,2,1,1,2,2,1,6,1,2,0,1,0,0
오창LG화학,5405,2586,4492,23.76,23.86,20.66,36.731941,127.449395,2,0,1,2,0,0,1,2,0,0,0,0,3,1,0,0,4,0,0,1,0,1,0,0,2,0,1,0,1,0,0
오송2교차로4,3288,1966,2560,13.96,17.09,25.59,36.613667,127.332313,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
