교차로명,통행량8,통행량13,통행량18,좌회전8,좌회전13,좌회전18,위도,경도,사고건수,DEATH건 수,SWPSN건 수,SINJPSN건수,INJPSN건수,DEATH자 수,SWPSN자 수,SINJPSN자 수,INJPSN자 수,교차로 반경 50m 내 무인교통단속카메라 수,교차로 반경 50m 내 신호등 수,교차로 반경 50m 내 신호등 유무
흥덕4,4634,3329,4662,0.179542512,0.185040553,0.197125697,36.645295,127.478596,6,0,2,4,0,0,2,12,0,0,0,0
현도면사무소3,2532,1920,2209,0.182464455,0.044270833,0.080126754,36.486378,127.423642,4,0,1,4,0,0,1,5,0,2,0,0
효촌분기점3,3612,2556,3365,0.289590255,0.169405321,0.333432392,36.585801,127.508794,3,0,1,3,0,0,1,3,0,0,0,0
터미널4,7557,6173,8111,0.066296149,0.065446298,0.062630995,36.628709,127.428424,18,0,6,14,4,0,6,26,4,0,2,1
하이닉스반도체4,3404,2418,3036,0.159518214,0.14516129,0.131752306,36.653656,127.435323,7,0,4,4,0,0,5,8,0,0,2,1
충북학생교육문화원4,5594,3849,4877,0.036646407,0.05871655,0.076686488,36.682957,127.482354,2,0,1,1,0,0,2,1,0,0,4,1
태산그린아파트4,4716,3215,4773,0.138040712,0.129082426,0.141210978,36.6132,127.510297,2,0,1,2,0,0,1,2,0,0,0,0
오송만수4,3692,1894,2848,0.185265439,0.208025343,0.21875,36.630124,127.333619,4,0,2,3,1,0,2,4,1,0,0,0
오창4,4964,3801,3966,0.132151491,0.123388582,0.118003026,36.740656,127.452498,4,1,1,2,0,1,1,5,0,0,0,0
오동분기점4,8812,5513,7425,0.121538811,0.158897152,0.125117845,36.69625,127.474817,1,0,0,1,0,0,0,1,0,0,0,0
오송2교차로4,3081,2086,2774,0.136968517,0.166347076,0.279019466,36.613667,127.332313,1,0,0,1,0,0,0,2,0,0,0,0
송천교서편4,3488,2260,3201,0.284977064,0.280973451,0.336457357,36.666446,127.46366,4,0,1,2,1,0,1,2,1,0,2,1
예정농원4,2711,2083,2890,0.241239395,0.284205473,0.321799308,36.645441,127.396431,1,0,0,1,0,0,0,2,0,0,6,1
성안동주민센터4,1984,1587,1911,0.21421371,0.228733459,0.270015699,36.631442,127.492856,0,0,0,0,0,0,0,0,0,0,0,0
솔밭공원4,5682,4415,5686,0.152235128,0.170781427,0.159690468,36.644234,127.435316,10,0,4,6,2,0,4,9,2,0,10,1
율량고4,4253,3168,4165,0.214671996,0.221906566,0.220648259,36.664676,127.493244,11,0,2,10,0,0,2,23,0,0,3,1
율량상리4,8143,4893,7137,0.196610586,0.254445126,0.292559899,36.66214,127.511986,12,0,4,11,0,0,6,19,0,1,11,1
오창한라비발디아파트4,3160,1952,3100,0.173417722,0.175717213,0.154193548,36.71173,127.41914,8,0,2,6,0,0,2,10,0,0,0,0
용암농협4,4178,3077,4403,0.156773576,0.122196945,0.167840109,36.609192,127.506165,5,0,1,3,1,0,1,6,1,0,0,0
