교차로명,통행량8,통행량13,통행량18,좌회전 비율8,좌회전 비율13,좌회전 비율18,사고건수
가덕지구대3,0.09404342723004694,0.07123411978221414,0.07242213486543697,14.43488943,19.74169742,25.80195258,0
가마육교4,0.5758509389671361,0.5224591651542649,0.5960084668884185,22.11,24.15,25.83,4
강내월곡4,0.5639671361502347,0.5349364791288566,0.48064711218627154,13.14,17.9,19.55,6
강내탑연3,0.49046361502347424,0.49682395644283117,0.41381917145449043,19.86143187,19.86486486,14.78873239,4
강외서평3,0.3411091549295775,0.35435571687840284,0.3261263985485334,30.58574879,26.84391081,24.96786632,2
개신5,0.46434859154929575,0.5537658802177858,0.47384336256425763,44.8699422,47.67985051,44.38738078,10
김수녕양궁장5,0.4878227699530516,0.4147005444646098,0.4833686120350771,12.73191095,11.58583526,11.75337187,3
남이외천3,0.3230633802816901,0.31828493647912887,0.3229513153915936,15.11445594,18.03957662,14.17017147,1
남이초교3,0.2950410798122066,0.2862976406533575,0.2970970668279408,5.23682455,7.086614173,12.02054795,1
남일고은4,0.20657276995305165,0.23253176043557167,0.20895071061384943,47.72,44.35,34.4,1
내덕4,0.3945129107981221,0.3818058076225045,0.4278802540066525,28.21,24.46,26.31,12
내수덕암교4,0.14950117370892016,0.11093466424682397,0.16389476867251287,14.61,18.27,15.01,0
내수만남의광장5,0.08993544600938966,0.11547186932849363,0.10810402177199882,21.25,21.65754496,16.34730539,1
명암타워4,0.6117957746478874,0.4308076225045372,0.6126398548533414,4.44,8.06,3.24,1
모충대교서편5,0.30809859154929575,0.2992286751361161,0.33429089809495016,16.90962099,17.85543322,19.93051169,7
문의IC3,0.0,0.03697822141560797,0.0,38.80445795,21.75777063,23.97905759,0
방서4,0.7318075117370892,0.7824410163339383,0.7902933172059268,23.13,24.7,23.5,9
봉명4,0.807218309859155,0.9818511796733211,0.7768370123979438,23.09,21.09,22.9,11
북의옥수3,0.38761737089201875,0.3269056261343013,0.38705775627456906,10.9672086,14.60877431,12.66002845,2
분평4,0.7620305164319249,0.904038112522686,0.9316601149077713,19.54,21.03,20.23,0
사창4,0.855487089201878,0.9968239564428312,0.8661929241003931,19.36,18.67,20.3,21
사천교4,0.37074530516431925,0.3709165154264973,0.3977925612337466,10.47,10.44,10.29,5
산남4,0.6263204225352113,0.6547186932849365,0.6400060477774417,19.04,16.96,19.1,3
산업단지6,0.4747652582159625,0.5868874773139746,0.5359842757786514,16.05493725,14.00059577,19.55555556,11
상당4,0.6368838028169015,0.6304446460980037,0.638645297853039,21.66,20.68,22.92,4
서문교하상도로3,0.1101819248826291,0.0,0.1566374357423647,19.33256617,28.96103896,30.98945254,3
서청주교4,0.7612969483568075,0.9328493647912885,0.8453280919262172,30.93,25.17,23.48,7
석교4,0.2495598591549296,0.36932849364791287,0.2670093740550348,30.58,25.85,25.36,16
석판분기점4,0.10475352112676056,0.046960072595281316,0.12654974296945873,28.81,25.59,39.4,1
선관위4,0.4285504694835681,0.5623865698729582,0.5928333837314786,17.71,15.45,16.0,11
성모병원4,0.5377053990610329,0.5483212341197822,0.6156637435742365,15.69,17.07,16.01,11
성안동주민센터4,0.15155516431924884,0.14337568058076222,0.15542788025400664,20.5,19.4,29.35,0
솔밭공원4,0.6926349765258216,0.72005444646098,0.7700332627759299,16.49,15.72,15.62,4
송천교서편4,0.2811032863849765,0.19827586206896552,0.29921378893256734,27.76,32.42,36.54,3
오동분기점4,0.9735915492957747,0.917196007259528,0.9165406713032961,11.83,13.34,12.53,3
오송2교차로4,0.3375880281690141,0.2713248638838475,0.24266706985182948,13.96,17.09,25.59,0
오송만수4,0.3804284037558686,0.256578947368421,0.28878137284547933,18.85,22.36,20.59,2
오창4,0.5647007042253521,0.6188747731397459,0.4860901118838826,12.9,13.35,11.58,11
오창LG화학,0.648180751173709,0.4119782214156079,0.5347747202902933,23.76,23.86,20.66,2
오창벤처프라자4,0.4399941314553991,0.31261343012704174,0.3693680072573329,24.41,15.32,17.13,2
오창지하차도4,0.7827171361502347,0.6379310344827586,0.7143937103114605,18.26953496,19.03964266,16.90140845,3
오창창리4,0.6899941314553991,0.7400181488203267,0.6694889628061688,20.54,23.24,22.22,6
오창한라비발디파크4,0.2621772300469484,0.2121143375680581,0.2836407620199577,16.73,14.49,14.45,6
옥산교4,0.3003227699530516,0.31488203266787657,0.25521620804354406,15.59,16.54,16.69,1
용암농협4,0.47901995305164324,0.368421052631579,0.5367402479588751,16.72,15.2,16.32,5
율량교4,0.44791666666666674,0.4258166969147005,0.4749017236165709,19.03,19.12,21.17,14
율량상리4,1.0,0.7112068965517241,0.9655276685817963,22.47,25.86,29.94,9
율량육교4,0.7852112676056339,0.77994555353902,0.7899909283338373,27.31,25.5,28.35,4
율량칸타빌4,0.2984154929577465,0.24205989110707804,0.4062594496522528,20.79,20.25,22.13,7
장성4,0.33685446009389675,0.27563520871143377,0.38206833988509226,10.72,11.79,16.86,6
정하4,0.5729166666666667,0.5891560798548094,0.6064408829755065,8.4,7.4,7.31,2
제2운천교동편5,0.6559565727699531,0.7577132486388385,0.712881765951013,16.12312202,16.81265207,15.82010582,6
제2운천교서편4,0.5509096244131456,0.5623865698729582,0.5601753855458119,9.93,11.39,9.55,3
주성4,0.6449530516431925,0.5528584392014518,0.7892349561536135,27.72,25.44,22.01,2
죽림4,0.6883802816901409,0.6354355716878403,0.6897490172361657,17.13,17.7,17.38,9
죽림교4,0.49853286384976525,0.411070780399274,0.5300876927729059,15.92,18.59,16.88,5
증평나들목4,0.22256455399061034,0.31261343012704174,0.19519201693377683,25.72,27.93,33.57,0
지북4,0.6368838028169015,0.6304446460980037,0.638645297853039,21.66,20.68,22.92,6
청남교4,0.43559272300469487,0.4730036297640653,0.44753553069247054,27.78,21.89,20.97,9
청원나들목4,0.4376467136150235,0.4047186932849365,0.37208950710613853,28.79,28.62,29.6,0
청주대교동편4,0.3585680751173709,0.49977313974591653,0.4522225582098579,21.83,21.49,23.8,6
청주역분기점4,0.1558098591549296,0.19872958257713247,0.17296643483519805,31.72,28.61,29.87,4
충북교육과학연구원4,0.15536971830985916,0.12545372050816694,0.13970365890535227,20.63,23.2,23.26,5
충북학생교육문화원4,0.6678403755868545,0.6594827586206896,0.6829452676141518,4.04,7.51,7.58,5
태산그린아파트4,0.5649941314553991,0.41923774954627946,0.5828545509525249,11.93,14.82,14.47,9
터미널4,0.8770539906103287,1.0,1.0000000000000002,7.365398421,6.701429123,6.856916369,10
하이닉스반도체4,0.5625,0.617059891107078,0.6065920774115513,18.63,19.71,18.36,6
현도면사무소3,0.21126760563380279,0.18579854809437385,0.1986694889628062,18.29419036,13.34172435,7.051564566,3
효촌분기점3,0.3438967136150235,0.3502722323049001,0.3253704263683097,32.33263284,25.97234226,34.01995494,0
흥덕4,0.5008802816901409,0.5333484573502723,0.5467190807378288,17.66,18.26,20.06,8
