"행정구역(시군구)별",2017. 01,2017. 01,2017. 01,2017. 02,2017. 02,2017. 02,2017. 03,2017. 03,2017. 03,2017. 04,2017. 04,2017. 04,2017. 05,2017. 05,2017. 05,2017. 06,2017. 06,2017. 06,2017. 07,2017. 07,2017. 07,2017. 08,2017. 08,2017. 08,2017. 09,2017. 09,2017. 09,2017. 10,2017. 10,2017. 10,2017. 11,2017. 11,2017. 11,2017. 12,2017. 12,2017. 12,2018. 01,2018. 01,2018. 01,2018. 02,2018. 02,2018. 02,2018. 03,2018. 03,2018. 03,2018. 04,2018. 04,2018. 04,2018. 05,2018. 05,2018. 05,2018. 06,2018. 06,2018. 06,2018. 07,2018. 07,2018. 07,2018. 08,2018. 08,2018. 08,2018. 09,2018. 09,2018. 09,2018. 10,2018. 10,2018. 10,2018. 11,2018. 11,2018. 11,2018. 12,2018. 12,2018. 12
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"충청북도",1591674,803295,788379,1592001,803533,788468,1591697,803490,788207,1592492,804037,788455,1592573,804119,788454,1592634,804151,788483,1592817,804225,788592,1593022,804272,788750,1593313,804367,788946,1593577,804466,789111,1594005,804791,789214,1594432,805091,789341,1593903,804965,788938,1594066,805256,788810,1594708,805800,788908,1595164,806193,788971,1595822,806654,789168,1595772,806666,789106,1596161,806982,789179,1596324,807234,789090,1596734,807503,789231,1597709,808059,789650,1598184,808309,789875,1599252,808971,790281
"청주시",835802,419615,416187,836310,419871,416439,836287,419929,416358,836298,419996,416302,836280,420016,416264,836025,419876,416149,835925,419836,416089,835794,419720,416074,835658,419645,416013,835770,419688,416082,835669,419643,416026,835590,419676,415914,835412,419670,415742,835071,419663,415408,835431,419995,415436,835293,420001,415292,835425,420101,415324,835373,420114,415259,835575,420315,415260,835701,420438,415263,836367,420868,415499,837195,421375,415820,837606,421566,416040,837749,421774,415975
"서원구",217382,107972,109410,217709,108136,109573,217551,108029,109522,217477,108008,109469,217555,108018,109537,217460,107959,109501,217404,107926,109478,217298,107845,109453,217338,107873,109465,217263,107844,109419,217017,107722,109295,216782,107632,109150,216417,107407,109010,216101,107286,108815,215541,107021,108520,215140,106825,108315,214969,106772,108197,214768,106707,108061,214669,106653,108016,214443,106569,107874,214024,106355,107669,211732,105243,106489,210352,104544,105808,209404,104071,105333
"청원구",191112,97180,93932,191646,97442,94204,192070,97721,94349,192442,97929,94513,192754,98071,94683,193032,98222,94810,193211,98305,94906,193366,98369,94997,193408,98375,95033,193408,98364,95044,193522,98404,95118,193767,98536,95231,193931,98646,95285,193933,98687,95246,194426,98973,95453,194817,99210,95607,195112,99367,95745,195430,99567,95863,195746,99775,95971,195718,99755,95963,196666,100268,96398,197349,100684,96665,197751,100885,96866,197225,100694,96531
"상당구",173521,86708,86813,172985,86399,86586,172618,86197,86421,172273,86019,86254,171949,85878,86071,171597,85679,85918,171324,85531,85793,171208,85470,85738,171074,85419,85655,171118,85403,85715,171130,85396,85734,171129,85402,85727,171099,85372,85727,171204,85454,85750,171691,85723,85968,171797,85754,86043,171705,85699,86006,171729,85667,86062,171821,85698,86123,171641,85583,86058,171604,85542,86062,174459,86924,87535,176195,87748,88447,176818,88060,88758
"흥덕구",253787,127755,126032,253970,127894,126076,254048,127982,126066,254106,128040,126066,254022,128049,125973,253936,128016,125920,253986,128074,125912,253922,128036,125886,253838,127978,125860,253981,128077,125904,254000,128121,125879,253912,128106,125806,253965,128245,125720,253833,128236,125597,253773,128278,125495,253539,128212,125327,253639,128263,125376,253446,128173,125273,253339,128189,125150,253899,128531,125368,254073,128703,125370,253655,128524,125131,253308,128389,124919,254302,128949,125353
"충주시",208288,104846,103442,208197,104817,103380,208116,104786,103330,208158,104818,103340,208146,104829,103317,208160,104845,103315,208147,104857,103290,208139,104865,103274,208150,104857,103293,208163,104853,103310,208047,104820,103227,208316,105000,103316,208539,105099,103440,208999,105394,103605,209306,105567,103739,209491,105690,103801,209695,105795,103900,209940,105910,104030,210024,105922,104102,210153,106032,104121,210174,106024,104150,210348,106130,104218,210490,106215,104275,210504,106222,104282
"제천시",136389,68404,67985,136226,68336,67890,136013,68215,67798,136534,68492,68042,136609,68523,68086,136507,68484,68023,136483,68457,68026,136492,68469,68023,136569,68518,68051,136656,68560,68096,136631,68543,68088,136432,68428,68004,136266,68376,67890,136087,68287,67800,135849,68123,67726,135916,68131,67785,135947,68170,67777,135857,68099,67758,135710,68022,67688,135600,67959,67641,135556,67938,67618,135556,67900,67656,135473,67839,67634,135386,67792,67594
"보은군",34252,17111,17141,34246,17096,17150,34249,17098,17151,34208,17083,17125,34176,17078,17098,34162,17075,17087,34099,17034,17065,34047,17013,17034,34052,17021,17031,34073,17027,17046,34066,17016,17050,34053,17009,17044,34032,17007,17025,33999,16998,17001,33947,16977,16970,33931,16970,16961,33921,16955,16966,33876,16927,16949,33815,16899,16916,33762,16894,16868,33725,16876,16849,33704,16864,16840,33668,16832,16836,33680,16834,16846
