"","교차로명","cctv","sign","speed","peek_speed","car","bus","truck","type","school","roundabout","accident","person","위도","경도","boxcox_peek_speed"
"1","가덕지구대3",0,"0",58.72,49.65,1587,36,419,"3지","0","0",0,0,36.561536,127.541219,0.689801065474014
"2","가마육교4",0,"0",29.6,19.05,9683,110,1618,"4지","0","0",4,7,36.59609,127.471779,0.682454318484109
"3","강내월곡4",0,"0",56.98,48.99,2610,113,1179,"4지","0","0",6,13,36.624493,127.369452,0.689753103658735
"4","강내탑연3",0,"0",56.98,48.99,2610,113,1179,"3지","0","0",4,5,36.62391,127.35857,0.689753103658735
"5","강외서평3",0,"0",35.29,15.31,14712,222,3193,"3지","0","0",2,4,36.605214,127.309905,0.678814636079128
"6","개신5",0,"1",59.68,35,11359,502,4095,"5지","0","0",10,16,36.624455,127.46395,0.688186400160276
"7","김수녕양궁장5",0,"1",60.25,40.22,13487,373,4467,"5지","0","0",3,3,36.62762,127.520007,0.688927213521319
"8","남이외천3",1,"0",29.6,19.05,9683,110,1618,"3지","0","0",1,3,36.55731,127.43162,0.682454318484109
"9","남이초교3",1,"1",29.6,19.05,9683,110,1618,"3지","1","0",1,7,36.575441,127.454423,0.682454318484109
"10","남일고은4",0,"0",31.9,21.88,7600,63,947,"4지","0","0",1,1,36.563265,127.510571,0.684232092548676
"11","내덕4",0,"1",38.63,18.98,6110,87,1130,"4지","0","0",12,19,36.657255,127.48829,0.68240204419428
"12","내수덕암교4",0,"0",36.67,17.2,5451,84,1056,"4지","0","0",0,0,36.71328,127.53591,0.680895338102998
"13","내수만남의광장5",0,"0",36.67,17.2,5451,84,1056,"5지","0","0",1,1,36.725039,127.541909,0.680895338102998
"14","명암타워4",0,"0",30.34,20.74,11048,129,1951,"4지","0","0",1,1,36.641263,127.49201,0.683587098833996
"15","모충대교서편5",0,"0",42.81,18.65,3659,62,801,"5지","0","0",7,10,36.629247,127.48162,0.6821491292592
"16","문의IC3",0,"0",68.43,48.77,16520,641,6404,"3지","0","0",0,0,36.526109,127.502251,0.68973676320843
"17","방서4",1,"1",60.25,40.22,7314,169,1698,"4지","0","0",9,17,36.606125,127.500912,0.688927213521319
"18","봉명4",2,"0",33.24,21.35,13840,207,2907,"4지","0","0",11,20,36.64304,127.462452,0.683942695122698
"19","북의옥수3",0,"0",35.49,15.67,10146,142,2067,"3지","0","0",2,4,36.771946,127.564689,0.679258497477384
"20","분평4",0,"0",44.25,21.47,8975,111,1646,"4지","1","0",0,0,36.6070494,127.4795922,0.684009749965336
"21","사창4",3,"0",31.35,20.71,9366,103,1568,"4지","0","0",21,42,36.634887,127.460178,0.683568948362789
"22","사천교4",0,"1",35.48,16.22,7803,80,1224,"4지","1","0",5,11,36.665255,127.486677,0.679890430458634
"23","산남4",0,"1",49.63,23.56,5470,78,1149,"4지","1","0",3,5,36.6155481,127.468843,0.685045556197485
"24","산업단지6",1,"1",31.35,20.71,9366,103,1568,"6지","0","0",11,16,36.63429,127.447422,0.683568948362789
"25","상당4",0,"1",30.34,20.74,11048,129,1951,"4지","0","0",4,8,36.637231,127.49029,0.683587098833996
"26","서문교하상도로3",0,"1",31.66,19.26,6753,71,1066,"3지","0","0",3,3,36.636148,127.484193,0.682608359984589
"27","서청주교4",0,"1",43.04,32.71,8142,192,2145,"4지","0","0",7,10,36.64647,127.422813,0.687768283826719
"28","석교4",0,"0",54.63,49.67,13487,373,4467,"4지","0","0",16,27,36.628269,127.491405,0.689802494567836
"29","석판분기점4",0,"0",29.6,19.05,9683,110,1618,"4지","1","0",1,1,36.6028,127.44037,0.682454318484109
