교차로명,시도,시군구,도로명,기타주소,도로등급,시행청,준공연도,교차로 유형,회전교차로 유형,로터리 유형,"스쿨존 내
위치여부",교차로 내 신호 여부,"접근로 진입부
양보선 여부",계,신규추가,누락추가,비고,위도,경도,NUMPOINTS
강남운전면허시험장 앞,서울특별시,강남구,테헤란로114길,"38",특별시도,지자체,"2005",3지,1차로형,,,,,,,,,37.507126,127.067527,"8"
세곡리엔파크 1단지 앞,서울특별시,강남구,헌릉로590길,"100",구도,서울주택도시공사,"2012",3지,소형,,,,O,,,,,37.463227,127.100699,"0"
강일리버파크1단지,서울특별시,강동구,아리수로93가길,"25",구도,서울주택도시공사,"2009",2지,2차로형,,,,O,,,,,37.56793,127.17063,"0"
서원마을입구,서울특별시,강동구,올림픽로,"936",구도,행정안전부,"2012",5지,1차로형,,,,O,,,,,37.563976,127.133,"1"
강변그대가A교차로,서울특별시,강동구,올림픽로89길,"55",구도,행정안전부,"2013",4지,1차로형,,,,O,,,,,37.546057,127.12197,"4"
암사역입구교차로,서울특별시,강동구,상암로,"2",구도,행정안전부,"2013",4지,1차로형,,,,O,,,,,37.551644,127.123978,"5"
고덕래미안힐스테이트 1,서울특별시,강동구,고덕동,"672",구도,민간사업자,"2017",4지,소형,,,,O,,,,,37.55967,127.147646,"0"
고덕래미안힐스테이트 2,서울특별시,강동구,고덕동,"671",구도,민간사업자,"2017",4지,소형,,,,O,,,,,37.558775,127.150095,"1"
우이동광장,서울특별시,강북구,삼양로,"685",특별시도,지자체,"2017",5지,1차로형,,,,O,,,,,37.664244,127.012022,"1"
마곡엠밸리1단지 101동앞,서울특별시,강서구,마곡서1로,"131",구도,서울주택도시공사,"2015",4지,1차로형,,,,O,,,,,37.569012,126.819303,"2"
마곡엠밸리7단지 714동 정문앞,서울특별시,강서구,마곡서로,"133",구도,서울주택도시공사,"2015",3지,소형,,,,O,,,,,37.56576,126.824647,"0"
마곡엠밸리7단지 702동정문앞,서울특별시,강서구,마곡서로,"133",구도,서울주택도시공사,"2015",3지,소형,,,,O,,,,,37.564634,126.824462,"0"
서울공진초등학교 앞,서울특별시,강서구,마곡서로,"33",구도,서울주택도시공사,"2015",4지,1차로형,,O,,O,,,,,37.558384,126.823544,"2"
마곡엠밸리14단지 1405동 정문앞,서울특별시,강서구,마곡중앙로,"33",구도,서울주택도시공사,"2015",3지,소형,,,,O,,,,,37.558197,126.825196,"1"
마곡동 강일교회앞,서울특별시,강서구,마곡중앙3로,"84",구도,서울주택도시공사,"2016",3지,소형,,,,O,,,,,37.562892,126.817979,"1"
마곡엠밸리15단지 1501동 정문앞,서울특별시,강서구,마곡중앙로,"36",구도,서울주택도시공사,"2016",3지,소형,,,,O,,,,,37.557891,126.828293,"1"
마곡엠밸리15단지 1502동앞,서울특별시,강서구,마곡중앙로,"36",구도,서울주택도시공사,"2016",2지,소형,,,,O,,,,,37.557785,126.829667,"0"
마곡엠밸리15단지 1508동 정문앞,서울특별시,강서구,마곡중앙로,"36",구도,서울주택도시공사,"2016",3지,소형,,,,O,,,,,37.556366,126.829444,"0"
