"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치년도,관리기관명,관리기관전화번호,데이터기준일자
F3620,서울특별시,강서구,고속국도,88번,올림픽대로,1,서울특별시 강서구 올림픽대로,서울특별시 강서구 가양동 439-1,37.5740740000,126.8443910000,궁산근린공원 앞,1,80,,,99,2007,서울지방경찰청,02-700-5031,2020-05-31
F4382,서울특별시,서초구,특별시도,,사평대로,1,서울특별시 서초구 사평대로 73,,37.4982230000,126.9923990000,서초소방서,2,60,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4383,서울특별시,용산구,특별시도,,효창원로,2,서울특별시 용산구 효창원로 137,,37.5403070000,126.9616880000,금양초교앞,2,30,,,2,2008,서울지방경찰청,02-700-5031,2020-05-31
F4385,서울특별시,도봉구,특별시도,,방학로,1,서울특별시 도봉구 방학로 101,,37.6628810000,127.0422060000,방학R,2,60,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4387,서울특별시,양천구,특별시도,,안양천로,2,서울특별시 양천구 안양천로 1039,,37.5345560000,126.8880060000,양정중 앞,2,60,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4393,서울특별시,강동구,일반국도,43번,천호대로,2,서울특별시 강동구 천호대로 1477,,37.5470370000,127.1732460000,상일2교 교차로,2,50,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4394,서울특별시,종로구,일반국도,6번,종로,2,서울특별시 종로구 종로,서울특별시 종로구 종로4가 126-4,37.5705620000,126.9978960000,종로4가R,2,50,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4396,서울특별시,노원구,특별시도,,화랑로,2,서울특별시 노원구 화랑로 727,,37.6332340000,127.1023450000,태릉선수촌입구 전방100m,1,60,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4397,서울특별시,강서구,일반국도,39번,개화동로,2,서울특별시 강서구 개화동로,서울특별시 강서구 개화동 403-2,37.5820120000,126.7976670000,"ADC항공해운 건너편 2,3차로",1,60,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4398,서울특별시,강서구,일반국도,39번,개화동로,2,서울특별시 강서구 개화동로,서울특별시 강서구 개화동 403-2,37.5820070000,126.7975330000,"ADC항공해운건너편 4,5차로",1,60,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4399,서울특별시,마포구,일반국도,48번,성산로,2,서울특별시 마포구 성산로,서울특별시 마포구 성산동 117-1,37.5660720000,126.9141070000,모래내고가차도종점,1,60,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4400,서울특별시,영등포구,특별시도,,도림천로,2,서울특별시 영등포구 도림천로,서울특별시 영등포구 대림동 616-1,37.5045060000,126.8933950000,신도림고가차도종점,1,50,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4401,서울특별시,구로구,특별시도,,서해안로,2,서울특별시 구로구 서해안로,서울특별시 구로구 항동 197-2,37.4782310000,126.8204550000,범박터널 전방500m,1,60,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4403,서울특별시,마포구,일반국도,48번,성산대교,1,서울특별시 마포구 성산로,서울특별시 마포구 성산동 565-9,37.5601460000,126.8965100000,성산대교 북단교차로,1,60,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4404,서울특별시,광진구,일반국도,3번,동일로,1,서울특별시 광진구 동일로 398,,37.5658870000,127.0776040000,현대오일뱅크 중원주유소앞,1,60,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4406,서울특별시,영등포구,고속국도,88번,올림픽대로,1,서울특별시 영등포구 올림픽대로,서울특별시 영등포구 양화동 1-161,37.5462160000,126.8902330000,한강공원양화지구 앞,1,80,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4407,서울특별시,강동구,고속국도,88번,올림픽대로,2,서울특별시 강동구 올림픽대로,서울특별시 강동구 고덕동 산 93-5,37.5663020000,127.1463170000,"고덕산입구 1,2차로",1,80,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4408,서울특별시,종로구,특별시도,,세검정로,2,서울특별시 종로구 세검정로 259,,37.6021820000,126.9610960000,방주목재앞,1,50,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4409,서울특별시,송파구,고속국도,88번,올림픽대로,1,서울특별시 송파구 올림픽대로,서울특별시 송파구 신천동 5,37.5217610000,127.0998980000,장미1차@ 15동 앞,1,80,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4410,서울특별시,종로구,특별시도,,창의문로,2,서울특별시 종로구 창의문로,서울특별시 종로구 궁정동 98-10,37.5842010000,126.9726920000,무궁화동산 앞,1,40,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4413,서울특별시,중랑구,특별시도,,북부간선도로,2,서울특별시 중랑구 북부간선도로,서울특별시 중랑구 신내동 296-2,37.6164110000,127.0975540000,신내IC 후방 100m,1,70,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
