순번,행정구역(구),행정구역(동),지번,교차로,구분,용도
1,흥덕구,복대동,296-5 도,금호어울림104동3,보행등,일반신호등
2,흥덕구,복대동,3370 도,금호어울림104동3,보행등,일반신호등
3,흥덕구,복대동,296-5 도,금호어울림104동3,보행등,일반신호등
4,흥덕구,복대동,3370 도,금호어울림104동3,보행등,일반신호등
5,흥덕구,복대동,3370 도,금호어울림104동3,차량등,일반신호등
6,흥덕구,복대동,3370 도,금호어울림104동3,차량등,일반신호등
7,흥덕구,복대동,3370 도,금호어울림104동3,보행등,일반신호등
8,흥덕구,복대동,3370 도,금호어울림104동3,차량등,일반신호등
9,흥덕구,복대동,3370 도,금호어울림104동3,차량등,일반신호등
10,흥덕구,복대동,3370 도,금호어울림104동3,보행등,일반신호등
11,흥덕구,복대동,3370 도,금호어울림104동3,차량등,일반신호등
12,흥덕구,복대동,3370 도,금호어울림104동3,차량등,일반신호등
13,흥덕구,복대동,3376 도,,경보등,일반신호등
14,흥덕구,복대동,3376 도,,경보등,일반신호등
15,흥덕구,복대동,3351도,청주자동차학원3,보행등,일반신호등
16,흥덕구,복대동,3370 도,청주자동차학원3,보행등,일반신호등
17,흥덕구,복대동,3370 도,청주자동차학원3,보행등,일반신호등
18,흥덕구,복대동,3351도,청주자동차학원3,보행등,일반신호등
19,흥덕구,복대동,3351도,청주자동차학원3,보행등,일반신호등
20,흥덕구,복대동,3351도,청주자동차학원3,차량등,일반신호등
21,흥덕구,복대동,3351도,청주자동차학원3,차량등,일반신호등
22,흥덕구,복대동,3351도,청주자동차학원3,차량등,일반신호등
23,흥덕구,복대동,3351도,청주자동차학원3,차량등,일반신호등
24,흥덕구,복대동,3351도,청주자동차학원3,보행등,일반신호등
25,흥덕구,복대동,3351도,청주자동차학원3,차량등,일반신호등
26,흥덕구,복대동,3351도,청주자동차학원3,차량등,일반신호등
27,흥덕구,복대동,3351도,직지초교후문3,보행등,일반신호등
28,흥덕구,복대동,3351도,직지초교후문3,보행등,일반신호등
29,흥덕구,복대동,3351도,직지초교후문3,차량등,일반신호등
30,흥덕구,복대동,3351도,직지초교후문3,차량등,일반신호등
31,흥덕구,복대동,3351도,직지초교후문3,보행등,일반신호등
32,흥덕구,복대동,3351도,직지초교후문3,차량등,일반신호등
33,흥덕구,복대동,3351도,직지초교후문3,차량등,일반신호등
34,흥덕구,복대동,3351도,직지초교후문3,보행등,일반신호등
35,흥덕구,복대동,3351도,직지초교후문3,차량등,일반신호등
36,흥덕구,복대동,3351도,직지초교후문3,차량등,일반신호등
37,흥덕구,복대동,3372 도,복대어울림후문4,보행등,일반신호등
38,흥덕구,복대동,275-61 전,복대어울림후문4,보행등,일반신호등
39,흥덕구,복대동,3372 도,복대어울림후문4,보행등,일반신호등
40,흥덕구,복대동,3372 도,복대어울림후문4,차량등,일반신호등
41,흥덕구,복대동,3372 도,복대어울림후문4,차량등,일반신호등
42,흥덕구,복대동,3372 도,복대어울림후문4,차량등,일반신호등
43,흥덕구,송정동,424 도,복대어울림후문4,보행등,일반신호등
44,흥덕구,송정동,424 도,복대어울림후문4,차량등,일반신호등
45,흥덕구,송정동,424 도,복대어울림후문4,차량등,일반신호등
46,흥덕구,송정동,424 도,복대어울림후문4,차량등,일반신호등
47,흥덕구,송정동,424 도,복대어울림후문4,보행등,일반신호등
48,흥덕구,복대동,275-61 전,복대어울림후문4,보행등,일반신호등
49,흥덕구,복대동,3373 도,복대어울림후문4,차량등,일반신호등
